Generation,Reward,Novelty
0,300,0
0,700,0
0,500,0
0,500,0
0,900,0
0,700,0
0,500,0
0,500,0
0,700,0
0,600,0
0,400,0
0,700,0
0,500,0
0,400,0
0,500,0
0,700,0
0,500,0
0,400,0
0,400,0
0,400,0
0,400,0
0,400,0
0,400,0
0,1100,0
0,300,0
0,700,0
0,400,0
0,1200,0
0,800,0
0,500,0
0,300,0
0,800,0
0,4100,0
0,400,0
0,500,0
0,3800,0
0,400,0
0,300,0
0,500,0
0,3800,0
0,300,0
0,400,0
0,500,0
0,800,0
0,400,0
0,300,0
0,400,0
0,500,0
0,400,0
0,600,0
0,300,0
0,3900,0
0,4100,0
0,500,0
0,500,0
0,400,0
0,400,0
0,400,0
0,400,0
0,600,0
0,300,0
0,400,0
0,400,0
0,3900,0
0,400,0
0,400,0
0,400,0
0,600,0
0,300,0
0,300,0
0,400,0
0,500,0
0,4100,0
0,400,0
0,3800,0
0,700,0
0,400,0
0,600,0
0,300,0
0,300,0
0,3900,0
0,500,0
0,800,0
0,600,0
0,4100,0
0,500,0
0,4000,0
0,500,0
0,500,0
0,900,0
0,700,0
0,900,0
0,900,0
0,900,0
0,400,0
0,700,0
0,500,0
0,700,0
0,300,0
0,400,0
1,400,0.5109674355
1,800,0.573639175
1,500,10.0722921679
1,600,0.6100873761
1,400,4.2971885278
1,900,0.6304409593
1,400,0.4924963769
1,400,0.988147714
1,600,0.613766479
1,4200,0.8694525803
1,500,0.544548242
1,3900,0.8197681481
1,400,0.5846811216
1,900,0.2831381229
1,500,0.4906226354
1,500,0.5975863186
1,600,0.3529604669
1,400,0.5539855848
1,600,0.5235290208
1,600,0.5421470231
1,4000,0.8145202499
1,300,8.0377805227
1,800,1.0323353072
1,500,0.3737707163
1,500,0.3188201453
1,400,0.8211284299
1,600,0.5039449255
1,300,0.2422145702
1,600,0.3761093525
1,800,0.5645560196
1,700,0.5340306176
1,700,0.4255533072
1,700,0.5223875714
1,500,0.5181582131
1,400,0.4375784511
1,600,0.6193113046
1,500,0.6006650731
1,700,0.5869996763
1,400,0.5446651166
1,600,0.5503048283
1,400,0.7917305571
1,3900,0.9680104748
1,900,0.5331578619
1,4200,0.9442355647
1,900,0.5428921757
1,800,0.4872756839
1,500,0.574988103
1,500,0.6365527291
1,300,0.6313467828
1,500,0.5056924625
1,500,10.0605270062
1,500,0.6022320202
1,400,0.7953912718
1,500,0.2468118217
1,400,0.9874207764
1,400,2.9314866747
1,400,4.2971885278
1,800,0.4915648637
1,800,0.5677078367
1,400,0.4775942422
1,300,0.5095539443
1,500,0.4128392517
1,3900,0.9205868434
1,900,0.5596903355
1,300,2.2064537595
1,500,0.531055345
1,700,0.5680195475
1,500,4.9285185016
1,400,4.3027351258
1,400,4.2750028578
1,400,0.2528995765
1,300,0.2789015105
1,700,0.3137539009
1,400,0.8211284299
1,600,0.5418080983
