Generation,Game1,Game2
0,500,50
0,3900,160
0,500,80
0,500,120
0,500,0
0,300,80
0,900,0
0,500,80
0,500,80
0,500,0
0,400,80
0,500,80
0,800,140
0,4000,80
0,800,0
0,600,0
0,400,0
0,700,80
0,900,0
0,500,160
0,400,40
0,500,200
0,700,0
0,500,0
0,600,70
0,500,180
0,400,0
0,4000,30
0,400,90
0,300,40
0,400,0
0,600,160
0,500,0
0,400,80
0,600,40
0,900,40
0,400,80
0,400,160
0,800,160
0,3900,80
0,4100,0
0,4200,120
0,700,0
0,3900,90
0,500,180
0,400,0
0,400,120
0,4000,10
0,700,0
0,400,50
0,500,10
0,300,260
0,500,0
0,500,160
0,500,0
0,300,80
0,500,0
0,500,0
0,500,0
0,500,0
0,500,0
0,700,0
0,800,0
0,600,0
0,300,0
0,900,30
0,300,0
0,3900,40
0,500,0
0,300,0
0,400,0
0,400,0
0,400,0
0,700,80
0,600,0
0,400,70
0,600,0
0,700,0
0,800,0
0,500,0
0,3900,0
0,400,0
0,400,90
0,400,0
0,400,0
0,600,0
0,600,40
0,400,160
0,400,0
0,500,130
0,400,80
0,400,0
0,400,40
0,4100,130
0,300,160
0,800,160
0,400,160
0,400,80
0,400,80
0,900,0
0,500,0
0,900,0
1,400,80
1,500,80
1,400,160
1,800,0
1,4100,160
1,500,50
1,400,110
1,4000,0
1,400,60
1,400,0
1,1000,0
1,4000,60
1,900,80
1,4400,40
1,800,0
1,800,40
1,400,20
1,400,0
1,400,0
1,900,0
1,700,60
1,400,200
1,400,0
1,400,0
1,1000,0
1,400,120
1,300,120
1,500,80
1,400,160
1,800,120
1,400,0
1,400,110
1,400,80
1,600,180
1,400,0
1,400,0
1,700,180
1,4100,80
1,600,0
1,3800,0
1,1000,0
1,400,80
1,300,0
1,400,0
1,400,0
1,400,0
1,400,160
1,400,0
1,400,160
1,4000,0
1,300,0
1,400,40
1,400,80
1,3900,70
1,400,0
1,400,0
1,400,0
1,500,40
1,1000,0
1,600,120
1,400,0
1,500,0
1,4200,0
1,700,0
1,4000,0
1,400,0
1,600,40
1,3900,0
1,600,0
1,400,70
1,500,80
1,400,0
1,400,80
1,800,0
1,400,0
1,3900,0
1,500,0
1,400,80
1,500,0
1,400,40
1,300,40
1,400,0
1,1000,60
1,500,0
1,4000,0
1,500,0
1,400,0
1,600,80
1,400,40
1,4100,80
1,400,30
1,3900,80
1,400,160
1,500,0
1,800,10
1,400,0
