Generation,Reward,Novelty
0,0,0
0,80,0
0,80,0
0,190,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,40,0
0,30,0
0,0,0
0,120,0
0,160,0
0,160,0
0,20,0
0,80,0
0,110,0
0,80,0
0,70,0
0,80,0
0,200,0
0,120,0
0,20,0
0,160,0
0,80,0
0,0,0
0,0,0
0,0,0
0,80,0
0,40,0
0,20,0
0,40,0
0,80,0
0,0,0
0,40,0
0,190,0
0,220,0
0,70,0
0,0,0
0,40,0
0,0,0
0,40,0
0,0,0
0,40,0
0,40,0
0,0,0
0,0,0
0,80,0
0,120,0
0,90,0
0,0,0
0,70,0
0,150,0
0,0,0
0,80,0
0,80,0
0,160,0
0,40,0
0,0,0
0,10,0
0,0,0
0,90,0
0,0,0
0,0,0
0,160,0
0,0,0
0,100,0
0,0,0
0,160,0
0,0,0
0,160,0
0,130,0
0,0,0
0,0,0
0,0,0
0,0,0
0,40,0
0,0,0
0,60,0
0,0,0
0,0,0
0,0,0
0,0,0
0,80,0
0,130,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,40,0
0,0,0
0,0,0
0,80,0
0,80,0
0,0,0
0,10,0
0,80,0
0,0,0
1,80,301.012660114
1,0,111.382085982
1,80,14.0898981757
1,110,16.2735055951
1,80,304.012543132
1,0,56.844031066
1,60,41.6667021949
1,50,22.7846305696
1,0,15.5191740448
1,70,36.2589491515
1,160,62.1306414602
1,120,71.657205039
1,10,72.3956441717
1,0,48.8851925414
1,20,76.4675899692
1,0,241.0186888
1,120,20.9175392901
1,0,82.0684549945
1,0,1291.50342866
1,160,19.9809408211
1,150,26.8995594437
1,20,31.8577289446
1,0,238.018924577
1,70,3.9021663283
1,0,50.0082015337
1,0,261.185071921
1,0,240.018766736
1,150,16.2488267548
1,160,62.0162217759
1,60,25.0087471642
1,160,62.0162217759
1,70,50.586040622
1,40,36.9111744552
1,70,41.3671716508
1,0,41.970656509
1,50,42.3558061018
1,0,21.5142878914
1,0,55.4333779857
1,0,47.1149797686
1,160,17.5416394702
1,0,49.7773357975
1,90,20.7438115397
1,0,6.1314601778
1,0,41.5560044426
1,0,999.006453479
1,160,62.2372609433
1,0,123.50139278
1,40,16.6095794135
1,160,62.1635811021
1,80,301.012660114
1,0,182.062406192
1,20,15.4314363865
1,70,50.4653572665
1,0,245.01838342
1,40,13.6205828896
1,0,381.945978017
1,0,20.2122512506
1,60,17.8988645721
1,160,854.004366723
1,0,289.643705679
1,20,50.445291038
1,30,44.9309794205
1,0,176.021735499
1,0,109.862692973
1,0,31.935554728
1,30,45.3737646744
1,160,61.8688629275
1,0,1247.25899594
1,0,5000.00090004
1,0,88.1723048017
1,30,93.3685061299
1,0,98.1205258226
1,80,100.376238977
1,10,18.577048022
1,130,21.8048130047
1,20,42.6832090004
1,120,74.6287360871
1,160,2.0809636169
1,40,7.1850323392
1,80,49.9111414142
1,120,85.3410721973
1,50,25.6992847117
1,160,54.1989152553
1,0,54.304467191
1,0,24.0403188625
1,80,44.8642589867
1,110,16.9329443164
1,120,12.5433839222
1,0,243.018534852
1,120,11.1378504732
1,40,103.736321009
1,100,39.0826343365
1,160,853.004371515
1,170,13.0075973306
1,160,48.0669443783
1,0,187.966767144
1,0,242.018611507
1,80,29.2306046208
1,0,39.6216105153
1,0,14.9328462785
2,160,10.4790173144
2,0,27.0864285082
2,60,44.7005161563
2,160,853.003253866
2,0,245.012261277
2,70,53.1251541302
2,0,12.8836546248
2,90,17.9503788928
2,40,25.0354649928
2,160,7.6827469955
2,0,8.2648880265
2,0,240.012517062
2,80,29.9713784451
2,40,54.3830352925
2,40,334.229703361
2,0,241.012465055
2,40,67.012336513
2,50,72.2630082217
2,70,12.6090632574
2,0,47.8053793647
2,80,305.009070369
2,100,45.5181764555
2,10,99.965202481
2,0,240.012517062
2,0,35.5916279017
2,0,8.0092165705
2,0,28.8844652977
2,160,854.003250111
2,0,238.01262239
2,0,244.012311594
2,80,300.009223643
2,80,299.009254957
2,120,11.1935102892
2,0,8.6765919199
2,0,2.8543229921
2,80,305.009070369
2,120,42.8541330799
2,160,62.3751614558
2,80,303.009131029
2,80,304.009100593
2,0,832.342341701
2,100,21.6535704627
2,0,239.012569506
2,220,58.3306412676
2,120,73.466483041
2,0,2499.50140028
2,80,31.891904301
2,160,15.1812664515
2,160,858.003235176
2,50,22.5072923202
2,0,70.9427318186
2,0,40.1342920746
2,120,114.472780409
2,120,36.1868790545
2,20,25.2009755491
2,0,74.4810755884
2,0,27.4397442662
2,0,58.7155660279
2,40,4.8085170582
2,160,62.7435063813
2,0,18.6465171695
2,0,67.5768045571
2,80,24.53402864
2,150,2.9638284669
2,0,144.65106715
2,0,1669.57299717
2,0,5000.00060004
2,0,11.8360678065
2,0,57.1614559177
2,80,303.009131029
2,80,25.7761137915
2,140,9.9125372355
2,40,37.1829138897
2,0,5000.00060004
2,160,47.3377781605
2,0,27.8427598726
2,80,303.009131029
2,0,382.014492191
2,80,303.009131029
2,160,854.003250111
2,80,305.009070369
2,0,5000.00060004
2,120,122.494280732
2,0,195.981298235
2,80,304.009100593
2,0,242.012413478
2,0,44.1818661342
2,100,40.4630704787
2,40,149.534810838
2,0,8.283516864
2,0,241.012465055
2,70,18.8008772072
2,40,13.1756938157
2,200,212.513027643
2,160,87.6162964101
2,160,853.003253866
2,40,4.9224680929
2,0,79.710367367
2,0,2.7675242314
2,0,114.987097382
3,0,15.6887563785
3,80,27.8891772095
3,140,28.5802530496
3,100,5.2054088663
3,40,15.0066240101
3,40,17.5967039177
3,140,37.8996638866
3,0,46.5462568982
3,0,243.012862954
3,160,2.0821334867
3,120,7.6761619505
3,160,14.6810490559
3,160,14.5953523273
3,180,7.4503110471
3,120,10.5521800604
3,80,16.4514889615
3,0,58.3022752785
3,160,14.5782142079
3,60,50.217084688
3,120,18.751054235
3,160,14.6810490559
3,160,14.646769144
3,50,43.19590196
3,140,43.7865469041
3,160,14.6639088975
3,0,245.012757818
3,60,7.1426326102
3,160,14.5782142079
3,0,119.026214552
3,160,2.8471156753
3,80,40.6189379269
3,80,16.7291773007
3,120,54.743867081
3,160,14.6639088975
3,0,241.012969837
3,210,14.2553134333
3,160,14.6810490559
3,160,14.6810490559
3,0,244.01281017
3,0,19.9302104743
3,120,3.4000943386
3,0,74.8373489404
3,160,14.646769144
3,160,63.0640192953
3,80,304.009079771
3,200,4.9324614925
3,0,46.9800487603
3,160,14.6810490559
3,100,77.3343574859
3,0,5.0576221623
3,0,37.8952442426
3,0,47.7229606295
3,40,71.285684627
3,160,14.5953523273
3,0,91.0255121091
3,160,14.6810490559
3,160,14.646769144
3,160,14.6981896178
3,80,298.009260167
3,0,2498.50124877
3,160,14.6810490559
3,0,242.012916174
3,120,16.3214544831
3,160,14.6639088975
3,0,1665.33637486
3,0,832.006755084
3,30,321.585150203
3,0,238.013133535
3,60,31.9053709057
3,50,19.7290952938
3,160,14.646769144
3,90,41.7632197096
3,160,14.6810490559
3,210,2.7397117077
3,160,14.6296297968
3,180,4.1761327485
3,0,138.76204516
3,160,14.5953523273
3,160,6.4410192331
3,160,2.1810263821
3,160,21.0166907053
3,120,10.2236503241
3,80,151.518151585
3,80,98.0484187251
3,160,14.5782142079
3,20,86.830315533
3,160,14.646769144
3,30,3.8442578168
3,160,4.8231885573
3,0,37.9418028316
3,160,36.5272121489
3,0,455.756819864
3,140,10.0978894837
3,120,4.3896619356
3,160,14.6124908574
3,100,9.6020618114
3,0,10.1582067123
3,0,5000.00062437
3,160,14.646769144
3,40,38.6665873057
4,0,242.011240993
4,180,8.1515493156
4,0,242.011240993
4,40,2.1101010887
4,0,50.8489171845
4,160,14.654808548
4,160,15.2832621124
4,120,35.4428447725
4,160,14.654808548
4,160,14.72337619
4,80,300.008336315
4,160,14.6890915431
4,210,2.5655614465
4,160,14.7062336608
4,60,11.4890763561
4,0,40.4087406191
4,0,59.0455270776
4,80,50.0965776806
4,160,28.0042139602
4,160,63.1472819306
4,160,21.7186305593
4,0,6.8477198701
4,160,2.3823223002
4,160,14.6719498383
4,160,14.654808548
4,160,14.7062336608
4,90,1.9929304269
4,160,4.4952652974
4,90,74.4683651093
4,180,4.5463286962
4,160,14.7062336608
4,160,13.3561083177
4,120,3.5423176901
4,120,2.9505628934
4,160,14.7576624767
4,160,14.7405191291
4,80,305.008196844
4,150,6.2312270772
4,140,2.322339792
4,80,10.2074855585
4,160,14.6890915431
4,40,27.2996967673
4,120,36.3005710633
4,160,14.7748062313
4,160,5.0569900289
4,0,14.5638042934
4,160,14.6890915431
4,180,9.0490956682
4,100,53.7959923215
4,160,62.7053117334
4,120,19.78721263
4,0,75.7949912761
4,0,78.9339037529
4,0,24.4299818236
4,80,33.3509478646
4,80,31.0683749718
4,160,14.6890915431
4,160,2.3196271238
4,210,20.1739458412
4,160,14.72337619
4,160,10.0950289025
4,20,555.75478523
4,140,11.0560079186
4,160,4.8229887158
4,160,14.7748062313
4,0,23.0465345424
4,0,245.011103147
4,120,33.9148026792
4,10,39.1108654633
4,160,2.9668444921
4,0,241.011287706
4,160,14.7748062313
4,160,14.7405191291
4,0,4.1976262876
4,30,15.0686537325
4,160,12.1322154977
4,40,24.8879878166
4,160,23.5851149508
4,160,2.3453671574
4,160,15.1628008193
4,160,14.72337619
4,0,3.694818863
4,10,18.9942539073
4,0,2.7101592419
4,0,5.1887389186
4,100,24.0890212199
4,60,15.8243639634
4,90,10.4024613228
4,0,14.2172075264
4,0,240.011334808
4,70,18.7054551143
4,100,25.2934369314
4,120,10.7698209353
4,160,14.7062336608
4,160,14.6719498383
4,160,14.6719498383
4,0,8.1759541276
4,0,3.6401252905
4,40,121.220713337
4,30,14.1060198069
5,30,11.487747639
5,140,11.9219496681
5,40,67.3635216594
5,40,62.4509690636
5,10,22.435809119
5,0,2.8165861653
5,160,63.1242017878
5,80,151.015934217
5,130,2.3243660757
5,0,6.8641979602
5,0,6.5537259403
5,160,14.6287701154
5,0,239.011195565
5,0,13.6350139133
5,0,18.8737228302
5,160,4.5637620755
5,0,14.4113530424
5,40,26.2292284485
5,0,243.011010998
5,10,7.7722910171
5,120,8.0145628903
5,100,4.3840065667
5,10,17.2721766696
5,80,2.3194263585
5,30,17.2633969015
5,160,7.1077828546
5,0,15.8976120184
5,160,14.5601337224
5,160,62.7558963059
5,0,240.011148845
5,30,126.113088409
5,40,3.0404152073
5,60,55.9249915786
5,160,1.9912533236
5,20,6.2197514895
5,160,62.6822357203
5,160,14.6287701154
5,110,11.8026673703
5,160,14.5772922593
5,70,21.9226739321
5,0,243.011010998
