Generation,Reward,Novelty
0,480,0
0,850,0
0,500,0
0,600,0
0,600,0
0,400,0
0,580,0
0,500,0
0,460,0
0,550,0
0,500,0
0,400,0
0,4100,0
0,500,0
0,500,0
0,1220,0
0,660,0
0,400,0
0,4400,0
0,460,0
0,530,0
0,440,0
0,500,0
0,330,0
0,460,0
0,400,0
0,3980,0
0,4200,0
0,4200,0
0,400,0
0,3900,0
0,3900,0
0,550,0
0,3800,0
0,680,0
0,700,0
0,500,0
0,700,0
0,710,0
0,450,0
0,500,0
0,400,0
0,500,0
0,400,0
0,500,0
0,500,0
0,500,0
0,850,0
0,400,0
0,4000,0
0,500,0
0,700,0
0,400,0
0,600,0
0,400,0
0,400,0
0,3800,0
0,500,0
0,600,0
0,400,0
0,690,0
0,4160,0
0,500,0
0,600,0
0,800,0
0,680,0
0,400,0
0,400,0
0,720,0
0,4470,0
0,880,0
0,600,0
0,880,0
0,4200,0
0,400,0
0,560,0
0,500,0
0,700,0
0,700,0
0,640,0
0,4480,0
0,440,0
0,600,0
0,600,0
0,710,0
0,650,0
0,660,0
0,4100,0
0,560,0
0,740,0
0,810,0
0,600,0
0,400,0
0,350,0
0,400,0
0,700,0
0,800,0
0,480,0
0,490,0
0,480,0
1,600,66.6504005854
1,480,92.9958980306
1,800,19.6294944829
1,800,33.323582724
1,400,29.6601816424
1,500,22.1845325052
1,4250,15.3400390385
1,600,250.076162554
1,520,117.762562058
1,380,9.8920087127
1,440,30.9506878093
1,700,249.796513147
1,400,122.327308336
1,4070,40.8686332744
1,560,868.840553874
1,520,120.35662498
1,3980,7.0778642565
1,3800,115.372661715
1,440,59.8359672066
1,500,785.350680698
1,440,116.115595703
1,500,243.186422308
1,420,142.039910789
1,660,17.534979005
1,760,36.4330286343
1,800,43.7344161183
1,4010,65.9707113916
1,620,58.2735970037
1,580,114.155907856
1,820,390.828872405
1,440,179.364912435
1,440,147.337690029
1,620,67.1115925612
1,420,48.4110537266
1,680,53.6988932371
1,730,55.2737988007
1,400,129.542439313
1,300,251.112274079
1,450,59.4597605954
1,600,252.982244263
1,900,72.938091105
1,400,87.0666624836
1,600,63.9706250712
1,760,78.9221587245
1,900,114.055193995
1,430,103.552864671
1,600,33.4536545781
1,480,92.5460290499
1,300,6541.00241994
1,500,21.1588845957
1,400,59.2048736499
1,400,262.950054823
1,580,32.6137868314
1,4100,116.573971295
1,400,115.118066182
1,720,39.9257289022
1,680,4.0119149691
1,440,66.5963487781
1,400,1586.3100257
1,400,261.279002714
1,550,90.4317096045
1,600,298.324156067
1,480,92.3269614354
1,400,17.3233162469
1,400,5819.00389425
1,400,254.127850767
1,4060,28.3720631021
1,1080,8.3823158224
1,600,192.602109259
1,4220,104.769437221
1,400,1262.08616218
1,500,306.937268815
1,580,101.252073516
1,430,116.677119793
1,300,360.109290331
1,600,57.6183872241
1,490,172.638236407
1,600,25.2111323317
1,900,21.9041780644
1,300,1821.9606362
1,540,69.9103444996
1,480,167.469616414
1,900,263.170389585
1,4280,87.4872054737
1,600,137.984320083
1,400,27.3058703752
1,3900,69.9104781122
1,500,5875.00366363
1,700,65.6197048067
1,330,288.532097508
1,500,70.565160794
1,500,690.173717268
1,580,121.760132262
1,500,62.278160415
1,4000,46.4851205691
1,400,333.025429857
1,3900,23.518156418
1,600,67.7167737311
1,560,949.681248924
1,800,10.9066687678
2,510,66.1323899921
2,560,903.37727913
2,400,333.272601545
2,1590,58.4603658255
2,560,948.712368735
2,3970,86.8744276374
2,700,254.795890788
2,1090,32.9677032728
2,660,863.059756097
2,500,243.743808513
2,880,62.3250764097
2,560,118.229355015
2,440,52.1560852571
2,480,58.0165620427
2,560,946.600708446
2,560,947.265707616
2,400,168.8886036
2,410,313.731221416
2,560,945.265713493
2,4000,57.4788573432
2,900,15.2353965621
2,560,234.673719487
2,800,247.373663382
2,660,877.636965175
2,500,114.062801508
2,500,34.3636430136
2,1140,36.6420023589
2,560,946.930710571
2,720,43.2618066201
2,500,25.3509748959
2,560,943.265719398
2,540,505.090082553
2,1100,34.5478563379
2,580,20.5831675021
2,400,892.300667064
2,660,858.886659296
2,850,64.8199142211
2,400,264.779233949
2,400,24.7283020599
2,400,122.093658017
2,4180,99.7495547106
2,540,93.8360220752
2,400,3.802202585
2,560,945.265713493
2,400,649.752111287
2,630,50.9192381783
2,520,105.591822845
2,500,40.2285908711
2,400,17.8547146392
2,590,40.1532475554
2,600,72.0781509428
2,4000,30.3931390068
2,400,5203.0108797
2,450,46.7936168567
2,300,6.4830799121
2,400,205.53973849
2,500,732.476006748
2,650,90.1674713401
2,500,99.5462878572
2,760,22.4189863804
2,700,75.6915151261
2,4000,55.1856511282
2,4240,86.4519989817
2,520,54.8169270683
2,300,4.1109003005
2,640,50.4983775501
2,400,257.624133029
2,300,24.8035987951
2,400,253.503967959
2,500,235.87804185
2,300,24.1554101024
2,4500,128.34403178
2,3900,115.02131531
2,400,5408.00567755
2,4100,29.5846529307
2,560,943.712383444
2,500,5013.16055351
2,400,336.272485669
2,530,147.188677009
2,460,943.096532393
2,4010,12.5187338926
2,4100,253.740645514
2,400,5135.69235687
2,500,42.6524396533
2,700,49.9750711983
2,600,21.0705790574
2,560,948.154038911
2,560,291.097261119
2,900,39.3885642188
2,700,99.9452535142
2,400,5410.00565152
2,420,29.3035398619
2,500,34.4857791331
2,440,838.014826319
2,400,201.005500944
2,1040,67.8534700561
2,600,132.022660557
2,4300,35.6054460384
2,960,863.300515413
2,480,168.422242736
3,600,1559.87113773
3,500,41.7190297665
3,540,25.3288611138
3,700,474.840773456
3,930,37.8667201515
3,600,1233.37757425
