Generation,Reward,Novelty
0,-8975,0
0,-29968,0
0,-29962,0
0,-29995,0
0,-29972,0
0,-29988,0
0,-29977,0
0,-29955,0
0,-8965,0
0,-29995,0
0,-29995,0
0,-9000,0
0,-29987,0
0,-9000,0
0,-8985,0
0,-29960,0
0,-29978,0
0,-29978,0
0,-8971,0
0,-29990,0
0,-29985,0
0,-29985,0
0,-8976,0
0,-8971,0
0,-29985,0
0,-29970,0
0,-29967,0
0,-29963,0
0,-29992,0
0,-29967,0
0,-29988,0
0,-29967,0
0,-8996,0
0,-29957,0
0,-29978,0
0,-29968,0
0,-29955,0
0,-29965,0
0,-8965,0
0,-8965,0
0,-9010,0
0,-29992,0
0,-8986,0
0,-8980,0
0,-8973,0
0,-8993,0
0,-29952,0
0,-9011,0
0,-8990,0
0,-8978,0
0,-8971,0
0,-8970,0
0,-8980,0
0,-9004,0
0,-8988,0
0,-8985,0
0,-9006,0
0,-8970,0
0,-8970,0
0,-8983,0
0,-9005,0
0,-10445,0
0,-8971,0
0,-29997,0
0,-29968,0
0,-29992,0
0,-29998,0
0,-29950,0
0,-29987,0
0,-29955,0
0,-29993,0
0,-29977,0
0,-29975,0
0,-8971,0
0,-29952,0
0,-8971,0
0,-29971,0
0,-9006,0
0,-8971,0
0,-8991,0
0,-8983,0
0,-8975,0
0,-8991,0
0,-8985,0
0,-8986,0
0,-8975,0
0,-8996,0
0,-15158,0
0,-8990,0
0,-8995,0
0,-8963,0
0,-29980,0
0,-9006,0
0,-9000,0
0,-29976,0
0,-29973,0
0,-29988,0
0,-29962,0
0,-8996,0
0,-29987,0
0,-29981,0
0,-29978,0
0,-29988,0
0,-29960,0
0,-9000,0
0,-8990,0
0,-29967,0
0,-9004,0
0,-29958,0
0,-8993,0
0,-13519,0
0,-29967,0
0,-8988,0
0,-8963,0
0,-29962,0
0,-8993,0
0,-8995,0
0,-8970,0
0,-8988,0
0,-29952,0
0,-8976,0
0,-29970,0
0,-29978,0
0,-29953,0
0,-8984,0
0,-29948,0
0,-29972,0
0,-8971,0
0,-9008,0
1,-8986,9056.42715681
1,-8966,9007.60177331
1,-29957,30424.4487152
1,-8978,9888.8302108
1,-8970,9888.83024239
1,-8990,9889.32218569
1,-29957,30424.4487152
1,-8973,9056.42723737
1,-29955,30422.4821051
1,-9003,9003.76670918
1,-8986,12144.9568346
1,-29998,31825.5709607
1,-9003,9003.76670918
1,-8980,9599.15581674
1,-9007,9901.32211827
1,-29997,33552.5120959
1,-9008,9008.76670673
1,-29952,29952.7602607
1,-8966,8996.57798881
1,-9010,9902.83005324
1,-29997,33552.5120959
1,-9009,9903.32210926
1,-8985,9888.83017377
1,-8985,8996.76681826
1,-29981,33539.2615186
1,-8965,9889.322358
1,-8993,9056.4271386
1,-8963,8996.76692593
1,-29997,30464.8566318
1,-8983,9888.83015877
1,-29983,33538.3872309
1,-8998,12146.0825171
1,-29985,30877.8236801
1,-8973,9888.83026408
1,-8996,9888.83007617
1,-29968,30435.6236166
1,-9001,9001.76672075
1,-8968,9056.42720382
1,-8973,8996.76690857
1,-29983,33233.5425964
1,-8991,8996.66295663
1,-8998,8998.76672427
1,-9005,9897.83005987
1,-9005,9897.83005987
1,-29990,33545.4496606
1,-8988,9888.83010964
1,-29988,30455.8275666
1,-8965,8996.76693918
1,-8986,8996.76682801
1,-29950,30364.0800642
1,-29963,30371.7804267
1,-8966,8996.76694647
1,-29955,31254.8851318
1,-8993,8996.76680979
1,-8971,12144.0826864
1,-29976,33534.1657199
1,-29975,33125.1102518
1,-8995,9366.54636176
1,-9011,9011.76669449
1,-29958,30425.4320224
1,-29993,33548.3996158
1,-29982,30449.7484538
1,-29991,33549.2739035
1,-8970,9888.83024239
1,-29967,33522.1165245
1,-29949,31250.2813916
1,-29975,30035.4206976
1,-8968,8996.76687501
1,-8991,12144.082567
1,-29955,33510.1375691
1,-8998,9000.62424366
1,-29992,31292.1638587
1,-29968,30435.6236166
1,-8988,9888.83010964
1,-8968,12144.0826678
1,-8971,8996.76689353
1,-9010,9902.83005324
1,-29968,30028.4206242
1,-29952,30012.4209561
1,-9002,9896.32212071
1,-29953,33507.991691
1,-8990,9888.83012077
1,-8983,9056.42713207
1,-29973,33528.1956348
1,-29965,33520.149901
1,-8965,8996.76693918
1,-29993,30053.4312746
1,-29993,30460.7441518
1,-9000,9060.42705669
1,-10921,14071.9571079
1,-8963,12144.0827188
1,-9008,9900.83006224
1,-8978,12144.0826481
1,-8978,9599.02791732
1,-8968,12144.0826678
1,-8990,8996.76676526
1,-8993,12144.0826026
1,-8978,8996.76685529
1,-29953,33511.0118567
1,-8993,9888.8301653
2,-9005,86783.2683163
2,-29993,63494.3624862
2,-8981,87025.1230685
2,-13516,100787.457004
2,-29986,62261.1665738
2,-29968,64320.2222389
2,-29983,63551.0228967
2,-29987,62184.1646377
2,-29973,62180.5191137
2,-8964,87355.4862853
2,-29962,62177.6275724
2,-29998,62185.935664
2,-29975,62179.3157964
2,-29955,62177.6682276
2,-29965,62179.0220298
2,-29973,62180.5191137
2,-29962,62177.6275724
2,-29990,63493.2885195
2,-9005,86785.3775924
2,-29982,62181.1667795
2,-29968,62177.4649566
2,-29968,63488.9385754
2,-29980,62246.0069435
2,-29985,63494.5247724
2,-29987,62349.3762892
2,-29971,62181.9968751
2,-29960,62179.4747119
2,-29983,63491.8896473
2,-8998,86840.5646722
2,-9006,86787.9392844
2,-29979,62241.1831517
2,-8979,87333.8565098
2,-29953,62178.7160449
2,-29955,63545.8393054
2,-29990,64004.9798591
2,-29970,62787.4601703
2,-29952,62178.6446347
2,-8970,87227.9595404
2,-29993,62185.6060513
2,-9011,86731.1186493
2,-29977,62239.5907857
2,-9005,87009.6125611
2,-29978,62181.1769258
2,-29952,63545.9757448
2,-29998,63553.9777599
2,-29983,62181.700144
2,-29981,63012.9856136
2,-29995,62186.6052371
2,-29973,63012.0772212
2,-29980,62182.3700969
2,-29955,62177.613583
2,-29985,63492.6053814
2,-29976,62182.2793876
2,-29995,62184.4648623
2,-29980,62182.3511062
2,-29962,62177.6275724
2,-29975,63549.3680672
2,-29972,63490.4702626
2,-8981,87004.9416652
2,-8995,86816.8461916
2,-8979,87006.1449826
2,-8973,87112.6346328
2,-29972,62180.1278328
2,-29997,64325.7701905
2,-8990,86927.3024753
2,-29960,63489.2039991
2,-29968,62236.598206
2,-29960,64319.7781009
2,-29968,63488.9385754
2,-29975,62179.3157964
2,-29993,62185.2443755
2,-29988,63551.6053598
2,-29957,63487.4211532
2,-29988,62182.5468121
2,-29970,62178.79639
2,-29980,62182.3511062
2,-29967,62180.2379328
2,-29961,62179.1963762
2,-29987,62184.0637822
2,-29953,62179.0505842
2,-8993,86955.6942735
2,-8980,87159.476601
2,-29970,63491.5727244
2,-29957,62178.1257635
2,-29996,63496.0478279
2,-29952,62178.7454902
2,-29982,63491.5319077
2,-8966,88185.5666315
2,-29955,62177.5127275
2,-29968,63548.0718248
2,-29950,63545.2604664
2,-29950,62177.9535548
2,-9006,87619.2229479
2,-29957,62178.1257635
2,-29974,63552.3919272
2,-29980,62184.206395
2,-29972,63492.8699886
2,-29993,62185.5673241
2,-29988,62241.6495316
2,-29985,62185.2670996
3,-8965,87706.9268998
3,-8968,87612.7658578
3,-29990,53625.7589579
3,-8975,87456.4887126
3,-8991,88114.9941527
3,-8964,88523.0649479
3,-9356,83943.9529935
3,-29955,54468.1278427
3,-8984,87398.5745501
3,-29958,53620.7252926
3,-8966,87698.6547336
3,-29976,54455.0073622
3,-29982,55351.2162982
3,-9000,88037.6868127
3,-29988,55295.1037903
3,-8970,87572.7673551
3,-8975,87973.6433971
3,-29972,54454.7059733
3,-8988,87253.2538428
3,-29955,54453.1840684
3,-8990,87331.5258222
3,-8988,87760.0406269
3,-29978,53622.7837674
3,-9010,87620.564737
3,-8980,87503.5572627
3,-15570,88225.1525118
3,-8990,88115.5370106
3,-8993,87300.5062112
3,-29963,53622.2650264
3,-9005,87115.7641371
3,-29968,53621.5635293
3,-29968,53621.5635293
3,-8978,88317.973889
3,-9006,87121.6557294
3,-8981,87349.7598408
3,-8998,88018.8123725
3,-29965,53621.1641434
3,-8963,87670.4490085
3,-29973,55291.7146677
3,-9011,87046.0831701
3,-8986,87456.4751667
3,-8992,88134.4405142
3,-29963,55291.036493
3,-8996,87166.9124691
3,-29990,53627.2707568
3,-8985,87551.8917181
3,-29950,53620.8696294
3,-8968,87553.7578928
3,-29958,53639.7128664
3,-9011,87046.0831701
3,-8985,87400.7552733
3,-8986,87397.4672017
3,-8973,87457.5960611
3,-8988,87273.6252056
3,-29990,55295.9840518
3,-8985,87387.9978893
3,-9003,87936.281505
3,-15445,83341.2043231
3,-8970,88415.8410049
3,-9002,87936.8243629
3,-8980,88336.9487078
3,-9006,87955.0471744
3,-8996,87166.5466262
3,-8964,87700.127925
3,-8996,87166.5466262
3,-29972,54454.7059733
3,-8995,87993.6796308
3,-29973,54828.5528406
3,-29960,53681.0668566
3,-29965,53620.791835
3,-8980,87503.9231057
3,-9008,87860.3883272
3,-29993,53626.8132734
3,-8980,87503.7197987
3,-8988,87253.6196857
3,-9000,87562.8816613
3,-29978,53640.4075884
3,-8981,87349.7598408
3,-8993,87300.8720542
3,-29950,54453.8952314
3,-8981,87350.1256837
3,-29993,53626.5229981
3,-8986,88230.4928038
3,-8975,87456.4887126
3,-9008,87860.3883272
3,-9005,87115.3982941
3,-29982,56125.2339352
3,-29955,54453.1128956
3,-8995,87639.0411891
3,-29955,56120.2912663
3,-8965,87689.4964879
3,-29998,53839.9448683
3,-29995,53628.0285344
3,-29952,53621.2246904
3,-8970,87572.7673551
3,-29972,56125.2831277
3,-9005,87115.6135811
3,-29983,53622.7915321
3,-8966,87758.0285416
3,-29950,55286.4359088
4,-8986,87629.5210921
4,-8974,87706.1990512
4,-8966,87930.9055011
4,-8963,87967.7933636
4,-9008,88017.0300849
4,-8983,88376.0981843
4,-8965,87862.4457746
4,-9010,87686.3911467
4,-8995,87333.1285425
4,-29980,49403.9914276
4,-9008,87182.7096624
4,-8975,87688.5340461
4,-9005,88116.4948964
4,-8968,87785.750331
4,-8992,88308.4747329
4,-9005,88116.4948964
4,-8996,87340.1692474
4,-8971,87754.9888559
4,-8998,88192.915691
4,-8978,87658.0141871
4,-29967,49343.9334446
4,-29995,49345.3904277
4,-8996,87340.1692474
4,-9010,87197.1684206
4,-29968,49343.0714064
4,-8995,87333.0890148
4,-8995,87392.0751782
4,-29953,49344.0619909
4,-14351,84361.7713413
4,-8980,87676.9667633
4,-8971,88589.1826133
4,-8990,87445.7110812
4,-29950,51186.8714905
4,-29965,51249.4584666
4,-9001,87313.4169398
4,-9000,88211.7653615
4,-8988,87426.8345267
4,-8976,87639.0626938
4,-8990,87504.6577169
4,-8968,87726.8036953
4,-8995,87333.1285425
4,-8985,87561.1163643
4,-8986,87570.5744564
4,-29963,49341.7482863
4,-8968,87726.3802022
4,-8999,88212.3119496
4,-29973,51251.3094347
4,-29963,49342.1717794
4,-8976,87639.0626938
4,-29953,49343.98184
4,-8990,87445.7110812
4,-8965,87862.4457746
4,-8966,87930.9055011
4,-8983,88376.0981843
4,-9008,87183.1331555
4,-8965,88696.3427039
4,-8970,87745.7914454
4,-8966,88705.8557947
4,-29975,49341.7756122
4,-29983,51252.1275582
4,-8990,87445.7110812
4,-29951,51190.9093206
4,-8963,87863.3587555
4,-8968,87726.8036953
4,-8985,87620.063
4,-29963,51248.4965951
4,-8984,88395.5598818
4,-8995,87333.1285425
4,-29972,50177.2656387
4,-29992,49346.7675937
4,-29997,49347.4167613
4,-8980,87735.913399
