Generation,Reward,Novelty
0,-8963,0
0,-9010,0
0,-29995,0
0,-29983,0
0,-29972,0
0,-29995,0
0,-8988,0
0,-9010,0
0,-29950,0
0,-8965,0
0,-29980,0
0,-29988,0
0,-29978,0
0,-8961,0
0,-8991,0
0,-8961,0
0,-9003,0
0,-8978,0
0,-8981,0
0,-8998,0
0,-9001,0
0,-29987,0
0,-8966,0
0,-9005,0
0,-8988,0
0,-8964,0
0,-8976,0
0,-9009,0
0,-8973,0
0,-9001,0
0,-8994,0
0,-29972,0
0,-29996,0
0,-29992,0
0,-8986,0
0,-29963,0
0,-29975,0
0,-29965,0
0,-29970,0
0,-29993,0
0,-29976,0
0,-29982,0
0,-29963,0
0,-9011,0
0,-29980,0
0,-29958,0
0,-8963,0
0,-29962,0
0,-29965,0
0,-29995,0
0,-8980,0
0,-29960,0
0,-8970,0
0,-29990,0
0,-8988,0
0,-29973,0
0,-29955,0
0,-8976,0
0,-8985,0
0,-8965,0
0,-29970,0
0,-29992,0
0,-29950,0
0,-29972,0
0,-29960,0
0,-8980,0
0,-29953,0
0,-14912,0
0,-29997,0
0,-10432,0
0,-8983,0
0,-29998,0
0,-29985,0
0,-29972,0
0,-29958,0
0,-29993,0
0,-29952,0
0,-29980,0
0,-8963,0
0,-29997,0
0,-29972,0
0,-29968,0
0,-8995,0
0,-29993,0
0,-29970,0
0,-29990,0
0,-29975,0
0,-29980,0
0,-29972,0
0,-8963,0
0,-29965,0
0,-8986,0
0,-9006,0
0,-29991,0
0,-29970,0
0,-29987,0
0,-8986,0
0,-29962,0
0,-8971,0
0,-8994,0
1,-8996,9065.42254221
1,-8981,9065.4226131
1,-29985,30452.7940861
1,-9006,9066.42251439
1,-8971,9009.84073007
1,-8969,12152.953575
1,-8993,9065.42260166
1,-9001,9065.42251264
1,-29992,33546.9501778
1,-9011,9015.84052506
1,-29962,30369.4842465
1,-9010,9012.18354294
1,-9008,9012.84056381
1,-29992,29992.259941
1,-9001,9005.26647487
1,-8981,9009.84063228
1,-29965,30421.9630874
1,-9000,12152.9533824
1,-29958,30425.5277886
1,-8988,12152.5162541
1,-8986,12152.5163182
1,-29988,30048.4159792
1,-29972,30001.6190701
1,-9003,9065.42251262
1,-8963,9009.84076362
1,-8968,9009.84071396
1,-8975,9009.84067514
1,-9008,9068.42254463
1,-29972,30384.0705992
1,-29978,30445.7316787
1,-8978,9005.26663414
1,-9008,9008.26650686
1,-8966,9008.0867597
1,-29972,30049.372996
1,-29988,33135.5096578
1,-9010,9014.8405321
1,-8978,9009.8406911
1,-8962,12152.9536142
1,-8990,12152.9534587
1,-29982,30042.4159797
1,-29953,33507.525675
1,-8751,9009.84977564
1,-8980,12152.5163633
1,-29953,29957.0407089
1,-9001,12152.5161913
1,-29993,30053.4159787
1,-29998,30465.9356062
1,-8980,12152.5163633
1,-29970,29970.2599428
1,-29978,30445.7316787
1,-8975,9009.84067514
1,-8985,9006.81203186
1,-8993,9005.26656389
1,-8978,9065.42267191
1,-9006,12153.516193
1,-9011,12158.5161845
1,-29973,30383.7564528
1,-29970,33524.779654
1,-8980,9009.84070386
1,-8994,9007.04727941
1,-29992,30459.8564992
1,-29963,33110.5096597
1,-9011,9015.84052506
1,-29978,33125.5096585
1,-29952,29952.2599441
1,-29975,30387.1997897
1,-9011,9015.84052506
1,-8970,9005.26666743
1,-29991,30411.0546124
1,-8981,9005.26657532
1,-9005,12152.5161912
1,-8985,12152.5163118
1,-29952,29952.2599441
1,-29995,33142.5096573
1,-9001,9009.84053183
1,-29998,30058.4159784
1,-29988,29988.2599415
1,-9003,12152.5161912
1,-9001,9065.42251264
1,-29962,30374.0583035
1,-9008,9012.84056381
1,-29998,30465.9356062
1,-29992,30401.3206601
1,-9003,9005.94827824
1,-29953,30420.4319964
1,-29980,29984.8352617
1,-29970,29974.0407175
1,-29977,30384.5923368
1,-8965,9009.84077525
1,-29968,33115.5096594
1,-29991,30013.0956831
1,-8999,12152.9534356
1,-29987,33134.5096577
1,-8970,9009.84072439
1,-8988,9007.04732105
1,-8993,9009.84062085
1,-8985,9065.42263321
1,-8988,9005.2665377
1,-8962,12152.9536142
1,-8975,9009.2787057
2,-8985,19482.3818239
2,-29983,29983.8738734
2,-29965,29965.9301405
2,-29973,29973.8738739
2,-8967,19482.8038297
2,-9000,19482.088987
2,-8991,19486.3367805
2,-8996,19486.3367412
2,-8983,19482.0890423
2,-8995,19482.0889701
2,-29993,29993.5925076
2,-29993,29993.5846511
2,-29962,29962.6120779
2,-8979,19482.8082918
2,-29972,29974.3002999
2,-9000,19482.088987
2,-29970,29974.2223928
2,-8974,19482.8082738
2,-29968,29968.8808842
2,-29983,29987.2087231
2,-29973,29977.828868
2,-8998,19482.088978
2,-29975,29975.5995054
2,-12669,21315.3449218
2,-11291,20625.3805071
2,-8990,19486.3367773
2,-29963,29963.6587368
2,-8989,19483.7116783
2,-8990,19482.8082124
2,-29985,29985.5958885
2,-29992,29992.5916876
2,-29962,29963.0045856
2,-8970,19486.3368828
2,-8981,19482.0890363
2,-8995,19482.0889701
2,-29989,29991.3127787
