Generation,Reward,Novelty
0,800,0
0,500,0
0,800,0
0,700,0
0,400,0
0,300,0
0,500,0
0,500,0
0,600,0
0,600,0
0,3800,0
0,500,0
0,500,0
0,3900,0
0,1000,0
0,500,0
0,800,0
0,4100,0
0,500,0
0,600,0
0,700,0
0,700,0
0,600,0
0,500,0
0,400,0
0,500,0
0,500,0
0,700,0
0,300,0
0,400,0
0,400,0
0,400,0
0,900,0
0,700,0
0,300,0
0,500,0
0,700,0
0,600,0
0,400,0
0,700,0
0,700,0
0,600,0
0,600,0
0,4700,0
0,500,0
0,500,0
0,300,0
0,4200,0
0,600,0
0,1000,0
0,500,0
0,500,0
0,3800,0
0,500,0
0,4300,0
0,300,0
0,3900,0
0,300,0
0,800,0
0,3900,0
0,4400,0
0,600,0
0,800,0
0,400,0
0,700,0
0,600,0
0,700,0
0,600,0
0,500,0
0,500,0
0,500,0
0,400,0
0,4000,0
0,800,0
0,500,0
0,300,0
0,1100,0
0,400,0
0,600,0
0,300,0
0,300,0
0,500,0
0,4100,0
0,500,0
0,800,0
0,900,0
0,800,0
0,4200,0
0,600,0
0,300,0
0,400,0
0,900,0
0,600,0
0,600,0
0,700,0
0,400,0
0,400,0
0,1100,0
0,500,0
0,600,0
1,400,347.499479573
1,800,326.909509948
1,400,431.02307166
1,400,431.02307166
1,700,408.629697943
1,400,347.499479573
1,500,464.817125477
1,800,498.979054558
1,400,347.499479573
1,400,380.204933313
1,500,296.15997934
1,3800,377.258970281
1,600,284.90175787
1,500,280.348637761
1,400,442.642694204
1,500,385.605640451
1,300,291.671794994
1,500,371.624382389
1,400,347.499479573
1,300,291.671794994
1,400,431.02307166
1,500,277.867544527
1,500,471.371192006
1,800,389.75676924
1,300,395.892664746
1,400,387.786495299
1,900,409.944232883
1,400,450.497262417
1,300,395.892664746
1,1400,480.549612674
1,700,427.582348798
1,900,439.085312469
1,500,459.166834654
1,600,274.71468802
1,500,270.332538896
1,400,347.499479573
1,500,384.458412827
1,600,345.109070698
1,500,270.332538896
1,500,420.45050232
1,400,431.02307166
1,300,367.500586494
1,500,285.052065071
1,300,354.419319365
1,4300,415.245296976
1,400,347.499479573
1,500,284.749779633
1,400,431.02307166
1,500,371.624382389
1,400,270.247376897
1,4000,288.341044174
1,500,373.48482278
1,500,371.624382389
1,500,389.321168832
1,600,406.027660963
1,400,397.342169104
1,500,402.071827305
1,800,303.064341018
1,400,337.609137568
1,600,431.157195775
1,3900,291.767719525
1,3900,410.556118425
1,700,383.246732744
1,700,399.135898043
1,300,387.424103529
1,500,371.624382389
1,700,307.388560191
1,500,432.570582643
1,500,387.089885065
1,700,375.898913191
1,3800,557.341998654
1,4000,401.932488728
1,400,398.465792587
1,500,383.409829548
1,500,290.841801333
1,500,371.624382389
1,400,431.02307166
1,500,325.441095701
1,500,335.00343634
1,400,431.02307166
1,400,347.499479573
1,800,378.905657989
1,400,347.499479573
1,500,273.956717562
1,400,347.499479573
1,500,347.492311084
1,4400,424.663380295
1,600,393.01858127
1,600,400.462409113
1,4300,434.595602693
1,4400,445.662357445
1,400,431.02307166
1,700,389.117403236
1,300,291.671794994
1,500,404.776675944
1,700,448.877468025
1,500,402.611500643
1,600,449.093196498
1,500,371.624382389
1,600,331.589827875
2,400,410.730441981
2,400,389.799667916
2,500,378.252279424
2,500,268.928346263
2,400,321.985241802
2,500,378.659170204
2,3800,418.248209227
2,600,375.107317622
2,300,298.458113333
2,700,398.203304648
2,500,268.928346263
2,300,298.458113333
2,500,370.604176251
2,4100,385.419390555
2,700,293.814992009
2,4100,283.912557668
2,400,321.985241802
2,400,274.678213934
2,800,279.842289225
2,300,381.669906918
2,500,370.604176251
2,800,393.467830352
2,500,268.928346263
2,800,292.632384373
2,500,388.729896572
2,600,314.681565318
2,400,331.910501966
2,600,386.847059539
2,500,288.480693472
2,500,268.928346263
2,700,274.928120647
2,500,370.604176251
2,800,461.367338946
2,500,412.950787729
2,500,370.604176251
2,400,377.900541615
2,3800,391.82938486
2,200,441.872676726
2,500,370.993067888
2,400,408.835106067
2,900,510.52858283
2,500,268.928346263
2,600,300.01461556
2,500,370.604176251
2,500,370.604176251
2,800,465.053613372
2,500,299.153920178
2,600,372.744595352
2,600,372.326168944
2,4000,474.056171964
2,900,473.725713209
2,500,293.626992586
2,500,370.604176251
2,3900,419.646861104
2,600,270.491135792
2,3900,299.660016964
2,600,372.061763902
2,400,407.133472714
2,3900,299.217228564
2,800,480.64565139
2,600,380.520093626
2,800,375.760571425
2,500,401.64384711
2,300,283.98400587
2,4000,322.527742787
2,600,298.346071085
2,500,418.3009725
2,500,271.455945494
2,600,422.074471317
2,500,330.760632831
2,500,405.300404733
2,400,410.730441981
2,800,404.193235658
2,700,393.068680961
2,4000,424.821898683
2,400,321.985241802
2,400,349.335572872
2,700,287.728306413
2,500,290.167187083
2,400,410.730441981
2,400,321.985241802
2,500,385.116883825
2,500,306.649044396
2,4400,385.711948517
2,300,298.458113333
2,400,410.730441981
2,300,392.558590261
2,400,299.503813219
2,400,423.985218426
2,500,370.604176251
2,300,288.733353392
2,800,372.216012326
2,4000,282.716686623
2,4000,303.758701048
2,3900,279.645176597
2,3800,372.684176099
2,500,306.348579623
2,4100,408.523003628
2,400,284.750628141
2,600,407.017831022
3,400,410.374593065
3,400,302.002979968
3,600,297.710851425
3,800,475.754336225
3,400,376.988939709
3,800,370.942818545
3,500,376.062593017
3,3800,507.245249086
3,500,268.920420261
3,500,370.598424787
3,400,281.615069363
3,800,389.944388093
3,4100,339.597485578
3,500,313.95270389
3,600,380.710317327
3,300,384.922212601
3,600,280.744214471
3,500,370.598424787
3,900,432.707520602
3,600,277.677053604
3,900,378.449941565
3,400,293.089063326
3,300,392.190901675
3,300,283.084043541
3,300,392.190901675
3,500,310.310223069
3,3900,378.586584669
3,700,350.070443121
3,600,399.25805816
3,1100,481.218856499
3,700,415.472806875
3,900,499.872988752
3,500,371.457731347
3,800,377.827095395
3,400,410.374593065
3,400,410.374593065
3,500,370.598424787
3,700,388.348762133
3,400,321.531190716
3,500,370.598424787
3,4200,379.197541484
3,400,298.208287912
3,700,399.802671968
3,600,269.283794836
3,300,283.084043541
3,400,321.531190716
3,500,268.920420261
3,800,269.990676376
3,3900,291.706298409
3,500,370.598424787
3,300,381.000757969
3,500,317.693857787
3,400,321.531190716
3,400,285.243510579
3,4200,378.822758878
3,800,418.154938315
3,600,307.237833817
3,600,397.998071169
3,4000,305.085474972
3,3800,279.586549394
3,4200,384.269672346
3,500,370.598424787
3,500,372.499077311
3,4200,374.8825379
3,4500,285.480381576
3,700,371.871806918
3,4200,290.279693947
3,600,394.776719108
3,3900,377.726548457
3,4600,446.703370825
3,900,381.118986053
3,4000,333.352543979
3,800,469.570993102
3,400,319.963972728
3,4700,402.890185054
3,900,521.103868605
3,400,303.391420462
3,500,370.598424787
3,500,321.52926486
3,4100,316.970470576
3,4100,444.452312934
3,500,301.781400276
3,4100,392.878162762
3,4100,385.606665395
3,900,402.891633272
3,4400,377.21238178
3,1100,456.671414425
3,3900,547.416757189
3,700,405.368964527
3,500,378.809992871
3,500,268.920420261
3,800,443.472132786
3,900,492.141509774
3,400,387.032854031
3,500,370.598424787
3,300,392.190901675
3,500,400.250551268
3,1000,408.213584475
3,500,304.442036309
3,4000,279.624427809
4,500,268.923250422
4,400,296.3700644
4,400,321.537059956
4,400,321.537837513
4,500,268.923250422
4,400,321.537837513
4,500,268.923250422
4,400,278.855232096
4,500,268.923250422
4,500,268.923250422
4,500,268.923250422
4,500,294.476719357
4,400,321.537837513
4,300,279.456997375
4,300,297.990801934
4,500,277.2537545
4,600,286.636521441
4,600,287.656317036
4,400,275.576670458
4,700,291.465691198
4,3800,373.983284133
4,700,298.848227392
4,800,298.705637831
4,500,268.92418009
4,500,268.923250422
4,600,278.933563019
4,400,321.537837513
4,800,316.371962147
4,800,281.268024798
4,600,291.465820232
4,400,321.537837513
4,700,319.752673859
4,400,321.537837513
4,400,321.537837513
4,1000,395.195781948
4,400,321.537837513
4,4000,291.732729174
4,300,297.990801934
4,600,268.922886006
4,400,321.537837513
4,500,276.683115323
4,500,268.923250422
4,1100,318.136114181
4,500,339.287134541
4,400,321.537837513
4,500,279.632644755
4,4300,334.49301549
4,500,305.670840867
4,600,273.385547844
4,300,297.989962847
4,300,345.205070634
4,600,283.512026143
4,400,306.244972443
4,300,297.990801934
4,4300,291.591029093
4,500,269.882242419
4,4100,310.739316057
4,600,268.922886006
4,900,506.380730764
4,600,270.352601989
4,400,272.255149648
4,700,363.378633258
4,700,304.844427178
4,4000,279.609606235
4,700,270.043168619
4,700,278.348853173
4,500,268.923250422
4,500,329.826874517
4,400,288.39391433
4,400,321.537059956
4,900,315.032819579
4,400,279.731559806
4,4200,318.55751392
4,700,269.28555859
4,700,276.459164607
4,3900,421.175655755
4,400,321.537920425
4,3800,371.043003305
4,400,290.35693568
4,1500,434.8205951
4,500,323.412372287
4,600,273.89111731
4,600,275.538539283
4,900,382.793794323
4,500,268.923250422
4,400,278.418005173
4,500,304.291318989
4,500,293.475472225
4,4000,371.481190689
4,1200,389.911973804
4,700,268.921816513
4,600,292.397225725
4,400,321.537837513
4,400,321.537837513
4,700,298.400504493
4,600,309.178957475
4,800,304.8654242
4,600,312.258668172
4,4200,321.270623833
4,3900,372.587054059
5,400,321.516363057
5,400,321.516363057
5,400,296.27467608
5,500,268.90917288
5,600,268.906179508
5,500,268.90917288
5,300,362.49354646
5,400,321.516363057
5,400,303.554659706
5,400,321.516363057
5,500,269.707624109
5,400,312.551583787
