Generation,Reward,Novelty
0,500,0
0,700,0
0,800,0
0,600,0
0,4000,0
0,500,0
0,500,0
0,500,0
0,700,0
0,500,0
0,500,0
0,700,0
0,400,0
0,600,0
0,700,0
0,4100,0
0,3800,0
0,500,0
0,4100,0
0,800,0
0,400,0
0,4000,0
0,400,0
0,500,0
0,400,0
0,500,0
0,500,0
0,4100,0
0,300,0
0,600,0
0,700,0
0,600,0
0,600,0
0,600,0
0,1000,0
0,400,0
0,400,0
0,500,0
0,400,0
0,400,0
0,500,0
0,3900,0
0,400,0
0,400,0
0,800,0
0,4100,0
0,400,0
0,900,0
0,600,0
0,500,0
0,3800,0
0,500,0
0,300,0
0,500,0
0,700,0
0,400,0
0,500,0
0,700,0
0,500,0
0,4000,0
0,400,0
0,500,0
0,400,0
0,600,0
0,500,0
0,500,0
0,500,0
0,500,0
0,300,0
0,700,0
0,600,0
0,600,0
0,400,0
0,400,0
0,500,0
0,500,0
0,400,0
0,500,0
0,600,0
0,700,0
0,300,0
0,4000,0
0,300,0
0,400,0
0,700,0
0,4000,0
0,700,0
0,400,0
0,900,0
0,400,0
0,400,0
0,400,0
0,900,0
0,500,0
0,400,0
0,400,0
0,500,0
0,800,0
0,1200,0
0,4400,0
1,400,12.3301645154
1,400,410.017251324
1,500,299.624657252
1,500,7.9229658515
1,1000,16.9040596823
1,400,819.008026875
1,500,447.447554411
1,400,821.00800777
1,500,12.730539105
1,500,9.9358100716
1,500,110.585286298
1,400,822.007998253
1,3800,9.6711500476
1,400,18.2406961577
1,500,8.1103225879
1,400,817.008046077
1,4000,8.9162055178
1,400,17.2616383376
1,900,7.5584227402
1,1000,7.6808916658
1,300,53.0080409613
1,300,867.722285281
1,4000,10.3378254312
1,500,7.9186146455
1,500,53.9206100182
1,300,870.11984963
1,300,869.640335684
1,300,191.784796442
1,500,19.653809656
1,500,8.41834908
1,500,42.7954286913
1,4000,15.9836786184
1,500,15.8499978753
1,4100,11.7326416816
1,400,25.1786203127
1,400,822.007998253
1,400,7.147214553
1,400,152.35586218
1,1000,6.2712021801
1,400,823.00798876
1,600,40.2645832884
1,700,38.5808909476
1,500,445.921047923
1,400,821.00800777
1,800,7.1457137888
1,300,263.764448604
1,400,494.194543722
1,300,251.722891424
1,500,7.1626494145
1,500,9.9932815116
1,700,10.5003786204
1,300,264.203699669
1,500,297.915897764
1,400,23.0351144427
1,500,299.624657252
1,400,820.008017311
1,600,14.1195740439
1,500,134.8458214
1,400,21.0380083112
1,3900,14.00777667
1,300,251.722891424
1,700,13.6675305462
1,1000,14.9525645896
1,1000,7.5984865707
1,500,77.6520318405
1,800,19.9334325149
1,400,818.008036464
