Generation,Reward,Novelty
0,500,0
0,500,0
0,600,0
0,600,0
0,600,0
0,500,0
0,500,0
0,500,0
0,700,0
0,500,0
0,400,0
0,600,0
0,1000,0
0,600,0
0,500,0
0,4100,0
0,300,0
0,500,0
0,600,0
0,400,0
0,200,0
0,700,0
0,400,0
0,500,0
0,4100,0
0,800,0
0,400,0
0,400,0
0,800,0
0,700,0
0,400,0
0,400,0
0,500,0
0,4100,0
0,600,0
0,600,0
0,400,0
0,400,0
0,500,0
0,300,0
0,500,0
0,400,0
0,400,0
0,500,0
0,500,0
0,400,0
0,4300,0
0,400,0
0,1100,0
0,3900,0
0,700,0
0,500,0
0,500,0
0,500,0
0,500,0
0,300,0
0,500,0
0,400,0
0,600,0
0,3800,0
0,500,0
0,700,0
0,300,0
0,400,0
0,300,0
0,600,0
0,800,0
0,400,0
0,600,0
0,4400,0
0,500,0
0,300,0
0,500,0
0,600,0
0,300,0
0,800,0
0,800,0
0,400,0
0,800,0
0,300,0
0,500,0
0,900,0
0,600,0
0,4200,0
0,700,0
0,500,0
0,400,0
0,800,0
0,600,0
0,600,0
0,500,0
0,500,0
0,400,0
0,400,0
0,500,0
0,4300,0
0,500,0
0,300,0
0,500,0
0,400,0
1,400,0.8
1,400,0.0190392821
1,400,0.0190392821
1,700,2.2619029041
1,600,2.4311192371
1,900,3.0811566282
1,800,2.8002325466
1,500,2.3114122181
1,400,0.0190392821
1,500,2.1535588165
1,400,0.0190392821
1,400,0.8
1,500,2.2930679734
1,400,2.5754899523
1,400,0.8
1,700,2.5037069712
1,800,2.8100351332
1,500,1.4892348157
1,500,2.2233846318
1,500,2.0525862232
1,600,2.9521793621
1,600,2.3718219082
1,500,2.3397035678
1,500,2.7723238412
1,500,2.3461259964
1,1400,3.3933057732
1,700,2.2390411209
1,300,3.4282066618
1,400,3.5211957748
1,400,0.0190392821
1,400,0.0190392821
1,700,2.3034495077
1,400,2.5597172046
1,400,3.4088774692
1,400,0.0190392821
1,600,2.5016361194
1,700,1.906246954
1,400,2.5664591919
1,1100,3.245832706
1,400,0.0190392821
1,900,3.3599039835
1,3900,2.7916308885
1,4000,2.4739149815
1,4000,2.8272857442
1,4100,3.507836113
1,900,3.1038757441
1,700,2.2089432613
1,400,0.0190392821
1,500,2.4329650535
1,1200,4.1854091236
1,4000,3.8488540638
1,3800,3.9763688909
1,700,3.3269772497
1,500,1.4892348157
1,4400,2.8538568049
1,4200,2.6042633083
1,400,0.8
1,300,1.449708732
1,500,1.4847050978
1,3900,2.8525263373
1,500,4.0789840892
1,1000,14.4199601753
1,700,2.4895938366
1,4300,3.1809091497
1,600,2.1910443947
1,700,3.7154305651
1,800,2.6127734262
1,3900,3.1988465252
1,600,14.3422636663
1,800,2.8224518336
1,700,2.3998159193
1,400,0.8
1,500,2.3465579947
1,400,0.0190392821
1,600,2.366582673
1,800,2.8019126015
1,3900,3.0397191093
1,900,3.4982488871
1,3900,109.636195866
1,400,0.0190392821
1,800,2.3747711861
1,4000,2.5054564812
