Generation,Reward,Novelty
0,600,0
0,500,0
0,1000,0
0,500,0
0,600,0
0,400,0
0,500,0
0,500,0
0,300,0
0,400,0
0,500,0
0,500,0
0,500,0
0,600,0
0,700,0
0,4000,0
0,1200,0
0,500,0
0,600,0
0,600,0
0,400,0
0,700,0
0,500,0
0,900,0
0,400,0
0,700,0
0,600,0
0,700,0
0,500,0
0,400,0
0,4100,0
0,700,0
0,400,0
0,400,0
0,700,0
0,3900,0
0,400,0
0,500,0
0,4500,0
0,600,0
0,400,0
0,400,0
0,400,0
0,400,0
0,900,0
0,300,0
0,500,0
0,700,0
0,400,0
0,1000,0
0,400,0
0,4100,0
0,900,0
0,4000,0
0,400,0
0,500,0
0,400,0
0,500,0
0,400,0
0,500,0
0,1500,0
0,500,0
0,500,0
0,900,0
0,400,0
0,600,0
0,500,0
0,500,0
0,3800,0
0,800,0
0,900,0
0,4100,0
0,300,0
0,3900,0
0,600,0
0,800,0
0,500,0
0,400,0
0,300,0
0,500,0
0,600,0
0,400,0
0,400,0
0,3900,0
0,500,0
0,800,0
0,700,0
0,700,0
0,400,0
0,3900,0
0,400,0
0,800,0
0,300,0
0,400,0
0,600,0
0,400,0
0,700,0
0,400,0
0,900,0
0,400,0
1,400,46702.2545051
1,500,6631.92291121
1,500,36256.7096896
1,900,383481.447338
1,500,24940.3719372
1,300,297972.013536
1,500,21288.7883174
1,600,46154.2281981
1,400,3767.02398761
1,900,70079.8375748
1,400,202675.503882
1,500,185073.64115
1,500,146107.72654
1,800,81982.9435826
1,500,2869.04486083
1,500,38926.5284793
1,500,2391.51587379
1,400,1621.54413169
1,700,141127.477035
1,500,306599.301367
1,400,2746.48104741
1,3900,222209.340239
1,300,421876.134126
1,4100,198743.81655
1,800,188398.340975
1,1000,202766.3008
1,4000,216810.117846
1,300,422735.210094
1,300,357502.787779
1,400,5311.64362649
1,400,5308.9725327
1,800,180523.802371
1,500,2133.11476236
1,400,1626.47206103
1,300,357412.701602
1,400,2678.1984591
1,300,3551.28008922
1,500,14309.8594877
1,500,348769.082955
1,1000,377752.424137
1,500,53408.1775635
1,4200,336210.092916
1,500,208497.665221
1,400,1627.13974806
1,500,513323.950593
1,700,81245.8227553
1,300,421875.700482
1,500,10914.2463644
1,400,42071.5290658
1,400,204125.736358
1,700,145731.06198
1,300,42710.5620972
1,900,265874.857348
1,900,227893.153756
1,500,1946.56315562
1,500,192236.039982
1,4000,173991.625067
1,500,209285.386082
1,500,2125.06979798
1,700,90315.7446074
1,1100,308846.006967
1,800,155374.607434
1,500,107872.476686
1,500,280439.520533
1,500,2128.26399894
1,300,422226.83247
1,400,421966.824096
1,400,21871.3087674
1,300,422225.956916
1,500,399187.642877
1,600,161707.891449
1,600,249085.808519
1,600,96589.9432359
1,800,128306.889337
1,800,194132.999553
1,400,2740.56680155
1,4500,434105.888713
1,500,20523.3237739
1,400,171055.825804
1,500,2770.35801335
1,600,184687.745872
1,500,2134.04916902
1,1000,174222.626366
1,500,2100.42264267
1,500,185082.640833
1,500,184729.956466
1,500,3457.49555785
1,600,66364.7087387
1,500,2127.61148044
1,400,5308.24730968
1,600,429711.076903
1,500,8675.98505504
1,400,5311.11922631
1,500,50162.4116192
1,500,47071.0198119
1,3800,158512.971967
1,600,502726.188052
1,700,56160.9171204
1,300,357413.669907
1,500,22338.1833146
2,400,1693.77684957
2,500,2066.47723628
2,500,1765.79416182
2,400,5288.65023498
2,400,1647.7744856
2,500,4034.78899469
2,700,2455.80544215
2,400,5371.28303728
2,500,2094.16532438
2,500,3264.25678945
2,3900,21014.2458432
2,800,3196.16465132
2,500,2076.24079183
2,300,2907.26026665
2,400,5078.19630994
2,300,3410.49034301
2,500,3925.7169719
2,500,2073.5703697
2,300,3417.56465705
2,4200,130705.054493
2,300,3410.19709854
2,800,14849.0133558
2,400,1569.64463133
2,800,3223.47846472
2,500,4372.43139536
2,500,2161.59669209
2,300,3404.46711967
2,800,12477.0995448
2,600,8201.60916292
2,300,3412.07673295
2,300,3409.36289363
2,500,2437.1682142
2,1100,64392.6582426
2,700,5175.06990388
2,500,2060.08126202
2,400,2226.36117167
2,600,2309.02208321
2,4000,100745.234629
2,900,39556.5194003
2,300,3399.47831892
2,4400,40045.1525364
2,900,2238.76752004
2,300,3410.88567769
2,500,2083.82253542
2,500,1774.8469961
2,300,3409.13762801
2,500,3742.75442477
2,500,3546.00762713
2,300,3411.79597392
2,300,3479.43796393
2,400,2531.79009539
2,700,6379.20644843
2,900,30925.7087049
2,300,3409.36289363
2,500,1934.80859174
2,700,5034.54924607
2,300,3405.05882936
2,800,15533.0852464
2,700,3685.93012786
2,600,5244.04095237
2,700,6593.54140973
2,400,3020.46779769
2,300,3476.75521254
2,4100,39103.4488208
2,700,1989.07738914
2,300,3410.19709854
2,300,3478.97650434
2,300,2474.07961982
2,400,2740.56088868
2,4000,39283.2588768
2,300,3923.95130184
2,300,3399.18096447
2,3900,109867.042468
2,400,4126.97272819
2,3900,57999.8655848
2,600,4051.02047938
2,500,7605.84984624
2,700,3646.7095804
2,400,2869.32270524
2,500,3039.49827179
2,900,14254.0113463
2,800,13326.4797676
2,500,6631.26350186
2,600,2139.93630857
2,300,3409.30203868
2,400,1714.09258758
2,500,2060.65499989
2,400,2797.0669626
2,400,2055.4084957
2,900,71483.3264022
2,400,3727.93272403
2,600,4496.47362076
2,3900,40456.4873679
2,3900,57445.4923239
2,4100,108810.455499
2,4100,55851.0912117
2,500,4074.58790899
2,800,3749.66089875
2,300,3410.49034301
2,600,7672.01909374
3,500,2001.75187329
3,400,1707.85226031
3,500,1990.89203841
3,400,1492.80565295
3,500,2833.32285038
3,500,2639.64842445
3,600,2328.62730692
3,800,2433.44248356
3,600,3669.07029975
3,300,2716.4317179
3,400,2733.27712281
3,500,2815.38429205
3,700,3113.8126973
3,700,4087.95744519
3,400,1617.8769309
3,400,2145.34233482
3,400,1652.14496415
3,500,2513.45048223
3,3900,3244.17423276
3,800,2377.94797883
3,500,4323.59775219
3,700,2061.41347004
3,400,5193.46923034
3,300,3272.46381478
3,4000,11219.7927067
3,400,3603.7267929
3,600,1749.38672889
3,500,3925.14985246
3,600,2639.66876056
3,1500,4711.23702043
3,1000,4189.95419219
3,500,2000.82695217
3,3900,9392.84383929
3,4000,3597.71927553
3,1200,4658.31955033
3,300,2715.13812067
3,4100,4338.82088682
3,400,1542.64703682
3,4000,9042.59126446
3,800,2087.33600948
3,800,2387.11368837
3,800,3018.0123565
3,3900,9618.78377871
3,800,2971.50231393
3,400,1507.93104501
3,4000,10356.3135928
3,400,5192.20028375
3,500,1966.44326863
3,500,2612.50478606
3,300,2710.34612379
3,400,2585.78246956
3,4000,9854.95245314
3,500,2009.10650169
3,600,2033.26474647
3,400,1493.56969787
3,700,2766.26642061
3,300,3269.8664869
3,300,2703.59558565
3,500,2911.6048862
3,400,3052.76400105
3,400,1491.56110406
3,600,2662.7150882
3,500,3368.36532862
3,600,4037.22261483
3,3900,3428.69934666
3,700,3123.85202584
3,300,3196.94777894
3,4700,6616.20262635
3,500,2038.31850439
3,500,3936.16162003
3,4000,11045.5420455
3,7800,16398.4123592
3,800,2994.88658471
3,400,1715.3094454
3,400,4745.24866982
3,800,3161.47943816
3,1000,2693.51002227
3,500,2913.59861314
3,500,1966.44326863
3,4600,6341.35868687
3,400,2535.95363857
3,600,3109.35981972
3,900,3501.47530212
3,500,1979.08415605
3,300,3269.27869214
3,400,2195.68659455
3,4000,3495.44881252
3,400,1487.56445221
3,4000,11066.689695
3,500,1917.46849199
3,500,2458.28366358
3,900,2788.64734838
3,3800,9121.53195156
3,300,3195.22093941
3,400,1590.55714382
3,500,2571.16939636
3,600,4599.34259044
3,4000,4362.21548911
3,500,1804.58395482
3,400,1598.37748109
4,700,2525.77363501
4,4100,9457.62524555
4,900,2278.5376873
4,400,2669.15174996
4,300,1957.12381646
4,600,3142.19136181
4,500,3362.77131222
4,400,3154.94126736
4,3800,9257.91165256
4,500,3515.41273647
4,600,3195.58445491
4,4600,11404.2632448
4,400,2828.53138106
4,600,2546.31913482
4,900,2788.30805728
4,700,2704.69933912
4,400,3712.27162099
4,4000,3758.07079786
4,300,2076.62659793
4,300,3238.61148467
4,800,2669.01848696
4,700,3932.82737142
4,800,3922.99367488
4,3800,9267.82227323
4,600,3325.84983649
4,4500,5460.29256413
4,300,2656.27881545
4,300,2776.35391942
4,500,3006.52911219
4,500,1702.032584
4,700,2118.58959298
4,900,3695.06105392
4,4100,5223.16527823
